animalistic_mean,robotic_mean,Shame_treat,pid3lean,Grid_Human_1,Grid_Human_2,Grid_Human_3,Grid_Human_4,wait
-1.5,-1.5,2,-1,1,2,2,1,1
0,0,2,1,3,3,3,3,1
NA,NA,3,-1,NA,NA,NA,NA,1
2,0,2,-1,6,6,1,6,1
1,0,2,-1,5,5,2,5,1
0,1.5,2,1,3,3,5,6,1
0,0,2,1,3,3,3,3,1
0,-2,3,-1,6,1,1,1,1
-1.5,-2,3,-1,2,1,1,1,1
2,0.5,3,-1,6,6,2,6,1
1,-1.5,3,-1,6,3,1,2,1
-2,-2,3,-1,1,1,1,1,1
2,0,3,1,6,6,1,6,1
0.5,-1.5,2,-1,5,3,1,2,1
-2,-2,3,1,1,1,1,1,1
-1,0,3,1,2,2,3,NA,1
0,0,2,1,3,3,3,3,1
-0.5,-1,3,-1,3,2,2,2,1
1,NA,2,1,5,NA,NA,NA,1
1,-0.5,2,-1,5,5,2,3,1
-1,-1,2,-1,2,2,2,2,1
1.5,-1,2,-1,6,5,2,2,1
2,0.5,3,-1,6,6,2,6,1
1,1,2,-1,5,5,5,5,1
-1.5,-1,2,-1,2,1,2,2,1
0.5,-0.5,3,-1,5,3,2,3,1
1.5,1,3,1,5,6,5,5,1
1.5,1,3,-1,6,5,5,5,1
2,1,3,-1,6,6,3,6,1
0.5,-1,3,1,5,3,1,3,1
1,0.5,3,1,5,5,5,3,1
0,-1,3,-1,5,2,2,2,1
0,0.5,3,1,3,3,5,3,1
0,-0.5,2,1,5,2,2,3,1
0,0,2,-1,3,3,3,3,1
1.5,1.5,3,1,6,5,6,5,1
0,0,3,-1,3,3,3,3,1
NA,NA,2,-1,NA,NA,NA,NA,1
0.5,0,2,1,6,2,2,5,1
-1,-1,2,1,2,2,2,2,1
0,-0.5,2,-1,3,3,3,2,1
0,0,3,-1,3,3,3,3,1
0,0,2,-1,5,2,2,5,1
0.5,-2,2,1,5,3,1,1,1
0,-0.5,2,-1,2,5,3,2,1
-2,-1,2,1,1,1,2,2,1
1.5,-1,3,-1,6,5,2,2,1
0,-0.5,3,-1,5,2,2,3,1
0.5,-0.5,3,-1,5,3,2,3,1
0,-1,3,-1,5,2,2,2,1
0,-2,3,1,3,3,1,1,1
-0.5,-1.5,2,-1,3,2,2,1,1
0,-0.5,2,1,3,3,2,3,1
1,-1,3,-1,5,5,1,3,1
-2,-2,2,-1,1,1,1,1,1
0.5,0,3,1,5,3,2,5,1
0.5,-1,3,-1,5,3,2,2,1
0,0,3,1,3,3,3,3,1
-0.5,-1.5,3,-1,3,2,1,2,1
-1,-1,2,-1,2,2,2,2,1
2,2,2,-1,6,6,6,6,1
1.5,0.5,2,1,6,5,3,5,1
-0.5,-1.5,2,-1,3,2,2,1,1
NA,2,2,-1,NA,NA,NA,6,1
0.5,1.5,2,-1,5,3,5,6,1
0,0.5,3,1,3,3,5,3,1
0,0,3,-1,3,3,3,3,1
0,0,2,-1,3,3,3,3,1
0,0,3,-1,3,3,3,3,1
1,1,3,-1,5,5,5,5,1
2,NA,2,-1,NA,6,NA,NA,1
0,0,3,1,3,3,3,3,1
0,0,3,1,3,3,3,3,1
0.5,-2,3,1,5,3,1,1,1
0,0,2,1,3,3,3,3,1
0,0,3,1,3,3,3,3,1
0.5,-0.5,3,-1,5,3,2,3,1
1,1,3,-1,5,5,5,5,1
0,0,3,-1,3,3,3,3,1
1,0.5,2,1,5,5,2,6,1
-0.5,0.5,3,1,2,3,5,3,1
0,NA,2,1,3,NA,NA,NA,1
-1.5,-1,3,-1,2,1,2,2,1
-0.5,-0.5,3,1,3,2,3,2,1
1.5,-0.5,2,-1,6,5,3,2,1
NA,2,3,-1,NA,NA,NA,6,1
1,-0.5,2,1,5,5,2,3,1
-2,-2,3,-1,1,1,1,1,1
1,0,2,1,5,5,3,3,1
0,0,2,1,3,3,3,3,1
0.5,0,2,1,3,5,3,3,1
1,1,2,1,5,5,5,5,1
-2,-2,2,1,1,1,1,1,1
0,0,3,-1,3,3,3,3,1
1,0,3,1,5,5,3,3,1
0,-1.5,2,-1,5,2,1,2,1
-2,-2,2,-1,1,1,1,1,1
-2,-2,3,1,1,1,1,1,1
0,-0.5,3,1,5,2,2,3,1
0,0,2,-1,3,3,3,3,1
-2,-2,2,-1,1,1,1,1,1
-0.5,-1,3,1,3,2,2,2,1
0,-1,2,1,2,5,2,2,1
1,0.5,2,1,5,5,3,5,1
2,NA,2,-1,6,NA,NA,NA,1
-1,0,2,-1,3,1,3,3,1
2,0.5,2,1,6,6,2,6,1
1,-1,3,1,5,5,2,2,1
-1,-0.5,3,-1,2,2,3,2,1
-2,-2,2,-1,1,1,1,1,1
1.5,-0.5,3,-1,6,5,3,2,1
1,-0.5,3,-1,6,3,2,3,1
1.5,1.5,3,-1,6,5,5,6,1
1,0,3,1,5,5,2,5,1
-1,-2,2,-1,3,1,1,1,1
0,-1.5,2,-1,5,2,1,2,1
1.5,-0.5,3,1,6,5,3,2,1
-2,-2,3,1,1,1,1,1,1
-0.5,-1,2,-1,5,1,1,3,1
-0.5,-1,3,-1,3,2,2,2,1
0,-0.5,2,1,3,3,3,2,1
2,0,3,-1,6,6,3,3,1
-1,NA,2,1,NA,2,NA,NA,1
1,0,3,-1,5,5,2,5,1
-2,-2,2,-1,1,1,1,1,1
1,-1.5,3,-1,5,5,1,2,1
1,-2,3,-1,5,5,1,1,1
0,0,3,-1,3,3,3,3,1
1,-1,2,1,5,5,2,2,1
-1,-1.5,3,1,2,2,2,1,1
-2,-2,2,1,1,1,1,1,1
0,-1,3,1,5,2,2,2,1
1.5,1,3,-1,6,5,5,5,1
-1,1,2,1,2,2,6,3,1
1,0.5,3,1,5,5,3,5,1
-1,-1,3,-1,2,2,2,2,1
-2,-2,2,-1,1,1,1,1,1
-2,-2,3,-1,1,1,1,1,1
